r0,r1,target
4.9833574,-42.728943,용량
24.191008,-18.48118,용량
8.501405,-2.4604156,가격
26.285793,-28.871582,디자인
-7.4616303,-4.0810843,용량
5.2520356,-0.44472376,용량
-5.949837,25.73014,디자인
27.863598,-23.798851,가격
5.869081,30.772585,용량
2.0649288,22.113947,디자인
7.227598,13.308928,향기
-28.309692,-6.557117,용량
-12.337082,-14.260506,감촉
-6.1502576,22.502645,용량
-6.6367693,46.506092,감촉
-16.814533,-23.461475,향기
15.9903345,-13.437944,디자인
-33.76949,-45.625298,향기
-21.629713,17.895912,용량
-17.572025,1.3293543,색상
-17.963224,30.457006,용량
47.408356,-1.2705386,디자인
2.7347262,11.2068,디자인
13.359128,-8.739635,향기
42.90601,-26.381525,디자인
-15.853419,16.564047,용량
6.1081405,-60.50256,색상
15.351897,21.454905,디자인
2.053328,-6.65441,가격
32.672646,-64.12694,색상
-5.5479326,18.684744,가격
-7.82905,1.77988,용량
24.664999,-13.295738,가격
-5.725572,-12.253998,용량
40.449013,-22.989412,색상
7.65474,-29.14106,용량
18.112728,13.919034,용량
-7.9676027,43.911697,색상
8.162084,35.35235,색상
25.448622,-48.53665,가격
5.917435,30.650927,용량
-20.608223,-8.587324,향기
34.3609,-55.12401,감촉
28.476164,32.515778,색상
-7.03692,24.82269,감촉
19.95542,0.31386462,가격
-48.340458,27.475574,향기
-2.1466947,-48.974396,용량
-46.40723,12.656578,감촉
30.78087,-25.779573,가격
-27.164211,14.846199,향기
-46.6583,4.4410934,향기
8.47525,18.88613,감촉
52.262157,18.738443,향기
42.316845,-15.718107,색상
-29.919867,26.763409,용량
6.352467,-1.098059,가격
-13.019275,15.285207,감촉
32.599895,-33.4974,가격
13.416867,46.614075,디자인
-8.867654,9.249102,감촉
-27.23388,7.5397353,감촉
20.72469,5.6739984,감촉
14.291151,-36.249096,용량
-20.788284,30.526196,가격
-19.224937,17.454079,용량
14.126808,-8.458019,가격
-29.401247,0.51173407,감촉
20.530134,-12.025965,가격
-18.257305,8.074961,가격
19.986986,27.249159,색상
26.696856,37.59818,색상
23.089367,24.600744,감촉
-24.363321,46.969334,디자인
27.530321,29.011087,색상
-34.670086,12.353456,용량
-12.02193,-31.865835,향기
-5.810839,-14.915953,감촉
-35.028137,-5.455229,향기
13.433621,-34.829765,용량
41.53598,2.461726,디자인
8.75088,-57.75371,용량
-30.454334,20.660465,용량
10.388806,8.133488,감촉
20.11119,30.70136,색상
-5.141801,-8.246082,용량
30.954332,28.336702,감촉
39.491173,-6.7868967,색상
31.505945,-31.240181,가격
18.48264,-22.39252,감촉
-4.5707464,29.89174,디자인
-44.939693,30.319727,감촉
-39.917805,-47.9012,감촉
-2.1558855,8.860712,가격
16.942635,20.472004,디자인
-43.65952,-6.693815,향기
-2.2757237,17.667053,디자인
18.595755,48.011425,색상
-9.510446,-8.157976,감촉
11.088593,21.316216,디자인
6.5043426,-0.9996695,가격
28.282997,5.634063,색상
-31.015995,0.69530797,디자인
40.12064,-27.093708,디자인
4.87705,-34.47479,용량
-51.74305,-25.682772,감촉
7.759895,-16.49305,용량
-24.980244,-11.681036,향기
39.31671,-17.638725,색상
11.799609,44.350616,디자인
-25.402163,14.89306,용량
23.010435,-8.419672,가격
11.389035,7.904241,가격
4.409632,5.004628,가격
0.54965866,20.199078,디자인
32.217377,-33.295483,가격
36.234028,-47.81742,감촉
2.955445,-17.701546,용량
-37.340466,-27.859867,감촉
5.7648582,-1.0554608,가격
4.1780677,6.2833886,가격
18.37158,-15.467444,감촉
-16.849699,-21.43769,향기
46.833504,0.72902673,디자인
-48.924862,10.068982,용량
9.319986,-19.583838,용량
23.705921,-7.2516575,디자인
-20.34659,-49.516273,가격
-47.58227,11.180714,향기
4.3078017,23.966043,향기
-33.005417,-30.707495,색상
-37.34226,13.716774,감촉
52.51917,17.785328,디자인
-8.871172,0.62815094,용량
-16.13832,15.762118,용량
28.192623,-2.4896498,색상
44.385876,-26.333355,색상
-10.978138,35.186024,디자인
18.40134,34.254765,색상
3.9445102,41.38765,디자인
-20.245674,16.280432,용량
18.742783,50.422466,색상
-20.800962,45.435425,향기
27.385931,-35.205345,향기
46.824383,-1.1786747,디자인
-46.498905,8.358156,감촉
-32.56751,34.329197,가격
5.7651596,4.4490337,가격
11.37505,-31.431936,용량
-36.904903,24.55892,감촉
-14.19154,-53.096737,향기
29.41353,6.368181,색상
12.745201,-1.8846678,가격
-22.877996,-16.40417,향기
32.24078,-11.62087,감촉
14.700658,-7.03389,가격
17.044329,26.290445,색상
-20.775124,-44.739323,색상
-8.653488,-18.162453,감촉
32.390713,-55.0597,감촉
-12.368875,-31.17367,향기
43.844013,2.0204136,디자인
2.6896057,23.658443,디자인
15.127986,34.29705,색상
30.70187,-52.337635,향기
-22.9497,-10.886607,향기
-23.814287,6.940311,색상
4.9806404,-42.732803,용량
-26.752531,3.4570813,감촉
16.875677,28.185316,색상
36.81623,-9.594448,색상
-6.922765,14.609122,가격
-30.63779,32.516174,디자인
-10.586877,29.19025,향기
-3.0945153,-26.928759,향기
-23.417807,19.378778,용량
37.959736,-19.884668,향기
1.4815468,42.514164,디자인
-20.657667,-44.64625,색상
38.43348,3.2435253,디자인
-21.050312,11.961182,용량
-13.6393585,19.061407,향기
-29.345865,-5.6641397,향기
20.238264,-10.083772,가격
35.807697,-20.654345,색상
26.648138,15.63561,색상
-20.849712,-51.002567,용량
-19.264174,-7.331223,향기
59.999508,-6.636446,향기
27.439613,17.08134,색상
-28.272972,15.329515,용량
30.700699,10.903975,색상
1.842654,-59.55222,감촉
21.245443,50.87708,색상
-54.482178,-23.72489,가격
29.868593,-49.573315,감촉
-24.031607,5.9575872,가격
-3.5130162,-19.929447,가격
3.1935081,12.688512,향기
20.104673,-16.336727,디자인
7.9101853,-52.964092,용량
26.015465,10.704168,색상
31.621153,-13.97306,색상
-12.926169,-9.732864,디자인
32.30516,-33.99898,디자인
-6.6254683,-60.50419,가격
24.333088,34.15116,색상
17.919317,20.198154,디자인
-46.256054,18.54729,디자인
-49.109776,-28.005127,용량
24.942322,44.795612,감촉
-12.355479,-11.406987,감촉
29.55943,-18.115236,감촉
-11.665046,-6.692285,향기
-12.807432,23.776115,가격
38.700134,9.102923,디자인
-27.868437,34.181896,디자인
42.934452,-50.513603,감촉
24.389454,52.3982,색상
-45.700905,11.072951,감촉
27.627325,-62.266064,디자인
49.6804,-2.304782,디자인
23.967514,-7.122699,디자인
-4.093049,50.609535,감촉
-39.54628,9.654945,감촉
-12.880572,29.21651,감촉
36.70972,-4.053015,색상
-9.994317,-35.844875,향기
10.734714,-47.358833,용량
35.34737,-42.220787,감촉
-10.254845,2.3452346,용량
26.459946,6.667625,색상
24.189852,49.78727,디자인
12.119357,-5.521286,가격
36.67761,-30.553696,향기
-23.465923,9.585145,향기
9.025134,1.5250494,가격
24.85164,16.736517,감촉
-26.559837,44.543007,감촉
5.2116647,-0.3636019,가격
-23.066393,-9.144759,향기
31.16394,-14.969351,감촉
22.033056,24.486006,색상
-6.1194453,-4.567822,용량
-37.75516,18.871883,용량
-35.806236,11.070078,감촉
-54.256508,-31.429695,향기
8.6034355,30.523693,감촉
-8.522183,-6.2023315,용량
-38.01815,16.273586,감촉
-26.583128,35.960415,가격
14.551591,32.731842,색상
4.114587,-12.113852,향기
40.066116,-32.62836,색상
23.165792,22.165037,색상
-27.222971,15.076684,용량
-18.816721,-5.066981,감촉
10.308938,-3.5443103,가격
33.580135,-9.008078,디자인
-18.999687,-14.076091,감촉
11.949625,-26.996416,용량
37.183384,-8.557555,색상
-37.984657,-27.3175,향기
17.946266,-14.418428,디자인
-6.0578213,30.83971,용량
-37.991802,-27.848654,향기
3.867762,10.920544,감촉
15.043949,-4.8220916,가격
-16.796022,24.457151,색상
-10.123374,17.207928,향기
-22.690203,39.90586,색상
27.407146,-18.626497,가격
-30.353693,20.685684,용량
42.968296,2.2686372,디자인
9.07652,-4.874419,가격
15.083021,-48.11251,디자인
-2.4541254,50.301186,감촉
37.160725,-5.4645615,색상
16.445663,-5.2115636,가격
-36.165874,-2.1023803,용량
15.289603,21.732456,디자인
34.665344,-34.54716,가격
-37.50703,-48.58413,가격
-24.199701,16.773748,용량
-20.649035,-44.714184,디자인
-6.37455,12.245002,가격
42.22353,-43.0576,가격
23.976908,35.644894,향기
-21.624119,-56.050076,용량
-25.569756,11.166355,용량
-11.910191,1.3243172,용량
25.552202,-2.2423668,감촉
-5.9081078,10.543327,감촉
-13.3559475,-18.305027,향기
38.689526,-33.426544,색상
-38.888557,-30.21591,가격
56.72496,-16.646172,향기
-5.6574893,7.4403563,용량
-28.304855,7.992961,색상
39.56893,-12.149558,용량
37.817898,-36.458683,향기
12.000934,-35.0684,용량
-42.783417,16.471573,향기
-21.305218,24.410778,용량
40.32832,-20.77477,색상
-10.075252,26.874832,디자인
-5.385441,-1.5359035,용량
-16.315756,15.826119,용량
-42.518845,-2.8227742,향기
53.246185,-32.48879,향기
-41.06273,-2.9892101,용량
-0.19247665,-18.101366,감촉
2.1210148,5.0399604,향기
35.181675,-23.418526,디자인
11.4597225,-7.6355276,감촉
3.0853462,16.593845,향기
-2.7716997,34.360916,디자인
-21.254477,45.085854,디자인
-14.574621,-9.493934,향기
38.188416,-16.749958,향기
-2.5729,37.471935,디자인
32.21096,-9.333694,감촉
12.577913,-44.010765,용량
13.899257,-49.05398,디자인
14.8532095,-32.894432,용량
-4.1576376,-30.30534,향기
-30.470076,10.428209,감촉
38.91988,-7.8117266,색상
9.417438,26.719074,감촉
-39.6398,11.205891,감촉
-8.36542,45.425407,용량
-11.832437,-31.431438,향기
-22.856237,21.120504,용량
-17.21612,-28.742048,용량
8.447992,-13.768349,감촉
28.691301,-27.524426,색상
24.804775,16.729296,디자인
13.79787,36.288883,색상
-22.696545,-11.239207,향기
-38.46863,22.456453,감촉
-9.360937,-46.045013,디자인
-27.851845,20.677025,용량
-23.552147,-12.3261595,향기
-22.548666,43.81487,색상
-34.511425,28.842325,가격
30.689478,-17.890057,가격
8.940014,-7.6809483,가격
12.564821,47.367664,디자인
12.384364,42.419678,감촉
32.545666,-1.8105855,디자인
-36.032223,36.468777,향기
24.374346,52.774773,색상
31.668377,-2.4994786,색상
36.844883,-16.332724,가격
23.781977,-58.761562,색상
4.7065187,2.6618586,가격
-55.00197,14.93991,향기
29.443857,17.552364,디자인
36.59405,-28.00059,가격
21.670889,14.963093,색상
-22.206047,20.20605,용량
6.8632073,12.694916,향기
24.65388,-17.242825,디자인
-1.7935666,-49.24558,용량
-3.1992393,-4.1370444,용량
15.496179,51.12272,감촉
10.432287,26.226273,감촉
40.397453,-30.689028,색상
35.307983,-27.369097,디자인
16.217558,3.305679,디자인
-8.878869,-12.3548355,향기
15.651739,-8.594164,가격
12.7168455,13.100837,감촉
-20.75852,-15.325704,향기
-15.732051,-0.85972965,색상
56.988182,-15.696761,향기
-5.920071,-30.743053,향기
-7.8801036,-17.88628,감촉
-37.658012,-3.9015992,향기
39.133617,6.7607884,디자인
-18.864529,22.935804,감촉
-22.191494,-16.597174,향기
-34.975994,30.164806,가격
51.741295,19.895569,향기
7.557404,-22.959295,용량
-0.47198048,20.65235,디자인
-32.771763,-31.52052,색상
-14.961663,-9.299877,향기
-23.104757,13.641644,가격
-31.9896,18.694563,용량
-12.662031,35.097816,감촉
-37.81169,12.412479,감촉
-28.965311,34.108925,가격
37.573948,-39.88812,감촉
28.315092,3.3156505,색상
7.9619937,-2.66807,가격
-48.61247,27.112097,색상
17.618258,34.655365,색상
30.125713,-17.75821,감촉
33.92271,7.740937,디자인
-18.232182,43.45098,가격
-39.515823,15.630218,감촉
-0.0015976839,20.82307,감촉
-54.40713,-31.40399,향기
15.583477,14.249036,디자인
4.8448706,-4.7170057,가격
-21.403131,-15.21403,향기
27.393814,-36.751144,향기
24.061756,-28.52156,향기
-44.036697,13.217613,향기
32.356415,-0.095261686,색상
7.154364,25.501245,색상
20.419565,-31.117197,감촉
6.646239,50.83493,색상
-15.314455,-1.4919776,용량
-12.526295,-14.170908,감촉
-41.718845,29.26632,감촉
18.45621,-8.273262,가격
-33.395767,-35.017857,디자인
24.850094,-51.475094,용량
-6.321156,8.9894,감촉
-7.5644026,34.95967,디자인
-20.44806,-25.476301,향기
-18.816069,-46.951138,색상
-35.505764,32.396828,가격
16.059984,-49.482906,디자인
-36.844044,-34.52566,색상
17.991837,-15.658515,감촉
-36.327995,8.976405,향기
-6.587179,28.399977,감촉
-21.081615,33.68423,디자인
-17.552982,35.247345,디자인
-18.235369,14.130189,용량
38.266846,-52.311497,감촉
16.229694,-49.46578,디자인
9.693556,-2.2967193,가격
26.594906,-30.332077,향기
3.2786357,23.202044,디자인
-32.96197,-8.149149,향기
-29.027815,-10.335281,향기
11.763915,-58.602493,감촉
6.272409,44.87272,색상
8.178907,15.62955,색상
12.686621,-15.552678,감촉
-2.2163856,40.80801,디자인
23.576637,-62.800926,색상
41.56717,6.7810445,디자인
11.184559,5.2053804,색상
-25.830915,6.9942017,용량
1.9212179,-49.61973,용량
-24.959953,-13.181482,향기
37.041527,-26.09907,색상
-42.298405,19.98297,향기
30.416643,-18.479628,가격
34.129044,-49.403847,가격
35.66869,-16.869673,디자인
10.891601,13.574342,디자인
33.217804,-19.4931,감촉
19.477089,30.95104,향기
-8.6,13.684162,가격
6.3784137,4.9811554,가격
9.815539,-9.364088,가격
29.673903,-31.885939,가격
-20.324192,34.68559,향기
1.876822,23.879272,가격
12.469677,3.386423,용량
-18.710346,49.56736,가격
-6.4391155,-32.473736,가격
30.100426,20.115685,색상
27.12663,-31.53136,향기
53.691147,-31.818197,향기
31.666288,-5.616946,색상
42.77795,-16.549517,디자인
-2.0269773,25.278877,용량
-39.62021,-48.206192,가격
-1.839811,-49.309795,용량
49.339153,-2.8559883,디자인
-12.264136,19.100895,용량
-15.984539,-21.328135,향기
-13.576107,28.169394,용량
-14.5597,-53.393593,향기
7.7296405,-9.972663,가격
4.5626183,-59.73602,색상
-1.1190435,20.462528,디자인
-38.475044,16.892694,감촉
16.684317,4.373336,가격
2.990226,-7.9425154,가격
-5.4682493,-25.698284,용량
-63.475468,2.107927,향기
59.739746,-6.74088,향기
31.882833,-43.19812,디자인
-33.200817,37.89233,가격
10.205988,41.15394,가격
-22.311268,12.666364,용량
11.981853,-8.479526,가격
-1.5642124,-9.678086,가격
29.097773,2.8000581,감촉
30.93073,-7.446232,색상
-3.384768,2.5802033,향기
-25.158974,5.402601,감촉
-38.840393,-10.479285,향기
-24.213602,45.480103,색상
11.3920145,-36.530945,용량
-30.011274,13.116287,용량
23.82961,-51.734127,디자인
-38.82186,12.985367,가격
-25.489101,13.82446,용량
-13.606213,19.06917,디자인
39.62937,-28.387346,디자인
-16.344927,6.7708983,용량
-24.651142,46.36181,가격
36.98697,-18.943712,디자인
-24.203941,1.8361655,가격
-1.3355526,12.695364,가격
14.84092,-45.173897,용량
28.684788,-24.685417,용량
31.028378,-6.9900975,색상
-51.47646,1.6252346,디자인
-10.721311,-46.067223,디자인
-33.45223,18.340826,용량
-20.71584,27.498455,감촉
-22.573462,7.199237,감촉
-23.165377,44.702076,가격
15.521076,-38.543262,용량
10.150669,-22.62225,용량
27.20513,0.8778637,감촉
-10.560423,33.983147,향기
25.179987,26.199207,디자인
-10.504005,39.331223,디자인
2.5586758,46.10531,가격
9.8157835,-32.05797,용량
30.48343,-17.253061,디자인
42.61994,-16.261293,디자인
-19.975212,44.685566,용량
-14.041832,-53.14966,향기
38.620346,-63.103413,색상
4.2902985,15.261027,디자인
23.232107,-28.579557,향기
21.003527,23.22092,향기
5.99588,21.524235,디자인
-24.10735,0.5752063,감촉
-12.05405,21.114689,디자인
9.878287,2.482465,용량
-5.29964,-25.80114,용량
-14.716385,-51.47858,향기
38.78069,-51.294052,감촉
-21.309391,46.055862,가격
-19.612694,48.502224,감촉
23.613707,-29.383741,향기
-12.17839,-0.0034515457,향기
14.226809,-53.864212,향기
-27.366053,13.962557,용량
14.871056,-54.178978,감촉
-19.519407,27.472435,디자인
44.884342,-12.518735,색상
10.895573,14.936175,디자인
-11.434644,36.028404,디자인
30.317257,-45.325138,가격
-6.7586665,-11.978954,감촉
-2.0752478,-16.46192,가격
30.335714,27.595707,감촉
41.91282,-32.592594,향기
-37.68118,-8.181741,향기
-34.04767,-12.58116,용량
-2.7029588,13.683035,디자인
-39.134205,-6.493713,향기
37.48454,-50.319332,감촉
-1.9966147,-16.313536,가격
-26.05292,26.951878,가격
-36.310303,10.434933,향기
-48.090733,31.11982,색상
6.6350994,29.657465,색상
-17.36526,3.4840415,가격
26.99089,-0.18312769,색상
9.857968,6.9812236,색상
-7.23132,-36.33508,향기
-36.800343,5.4243584,향기
28.909134,-46.88305,디자인
9.32339,-19.868412,감촉
-34.13263,24.021612,감촉
25.554028,12.30908,디자인
0.6071262,-24.680447,용량
24.654736,-31.027636,향기
38.795395,-51.26953,감촉
-11.642363,12.297036,가격
7.3014565,39.527344,가격
-6.3510804,25.294369,감촉
-5.339664,52.502476,감촉
-40.095955,29.664446,용량
13.268914,-23.145807,향기
6.216085,4.870978,가격
-52.95734,-3.6449337,용량
-45.517956,15.6961355,감촉
-2.544552,3.1093645,감촉
30.335548,-39.113316,향기
13.633245,6.366668,감촉
-24.000006,31.529299,가격
-16.329632,27.794428,디자인
-5.8023453,38.43535,디자인
-23.15879,33.19761,가격
42.489304,-23.146162,색상
5.959909,-48.42996,용량
0.14097708,9.810275,디자인
3.2968464,19.210535,디자인
-27.92455,-11.631894,향기
-6.576349,0.28084907,용량
21.677523,19.845917,색상
17.298058,52.246353,색상
-1.2368693,29.979488,디자인
3.3377132,7.4230986,감촉
-17.576353,20.09572,용량
-27.962105,3.2444744,감촉
43.15001,-8.903926,색상
15.452456,29.222635,색상
-3.1971667,-4.195775,용량
-15.185639,27.737158,용량
-16.23868,-6.971312,향기
12.402296,15.11266,디자인
-26.783594,23.466396,감촉
-9.744346,27.33418,용량
-29.404804,21.887209,감촉
-64.32879,1.6894888,색상
54.94555,18.508076,디자인
-36.942154,-27.718534,향기
16.889841,-36.137444,용량
16.151852,29.877615,디자인
3.4217367,-20.593996,용량
-35.182095,-27.327688,색상
13.509511,45.223763,디자인
24.399187,-32.944054,향기
-26.973125,10.936595,감촉
-7.218044,18.048328,가격
-51.44568,-22.971043,색상
8.999256,48.13759,색상
8.363943,14.643128,용량
32.6821,-10.385308,색상
-12.311966,30.912954,용량
-17.922358,24.249166,감촉
4.408337,-16.888653,용량
1.5228044,27.23028,용량
-35.918633,-35.13709,가격
14.4155,48.693527,감촉
-18.77591,25.129364,감촉
-3.3833828,-11.339867,감촉
25.02306,23.268093,감촉
-7.487476,10.4997635,가격
30.517803,-34.483948,가격
-42.299885,-7.2179537,향기
37.592236,-39.752426,감촉
-55.423904,-31.453909,향기
-28.254646,5.101397,색상
-7.634481,7.766082,디자인
11.2068815,5.2302885,가격
-31.12639,18.099022,용량
-54.408104,-23.505892,디자인
4.0210133,-56.758236,감촉
4.1823235,20.122398,디자인
-6.2135396,-57.31321,용량
-8.587609,-4.3694787,용량
-35.776024,-13.273021,향기
13.75725,21.843359,디자인
-32.072395,19.452463,용량
-27.180502,44.02668,가격
-38.789486,-12.296498,용량
33.38906,-10.872419,색상
26.028303,-41.305378,감촉
32.548775,2.8334467,디자인
-29.50896,35.59855,용량
19.563656,-23.704601,감촉
38.23214,3.786442,디자인
38.134964,-22.832947,감촉
-33.6389,-44.43346,향기
-20.628332,-2.7584214,색상
-14.207464,-22.292496,향기
0.056835387,18.897573,가격
18.525318,34.83523,디자인
-5.384687,-17.467663,디자인
-1.7422851,17.504559,가격
0.04448481,-20.906954,용량
32.229794,-30.830858,가격
51.989323,18.845972,향기
-13.954402,34.01623,향기
-21.137487,37.366062,가격
11.269653,10.325112,디자인
-33.855667,-45.87302,향기
-35.06584,-32.355816,감촉
29.202291,22.423967,용량
-60.55968,-10.497602,향기
46.717293,-1.4784753,디자인
36.02239,-52.254223,감촉
-3.1313815,-30.672821,용량
-4.056958,-34.199455,향기
31.276154,-1.238358,색상
-26.769684,17.720984,용량
16.970873,16.578466,디자인
-16.139662,46.24963,색상
18.167847,-7.569883,용량
14.67794,-49.4043,디자인
-17.766232,-19.129707,향기
32.13684,44.722847,디자인
29.32342,5.5125794,색상
-24.25194,28.829731,용량
-18.95461,23.584894,향기
33.227253,13.169976,색상
-6.4017825,-59.436024,감촉
35.72664,-41.387047,감촉
33.23912,1.169206,색상
4.570425,-18.812191,용량
-3.0307674,13.556901,가격
16.787941,-54.08702,가격
-15.969832,-16.236563,향기
-9.693314,-60.272476,색상
6.6320453,33.442234,색상
-45.795822,6.993852,향기
-19.274517,1.5436254,향기
32.738037,-45.340374,디자인
19.151691,22.62588,디자인
9.3380165,4.3241596,가격
52.58086,18.475142,향기
38.622528,-23.82304,감촉
39.781834,-32.28121,색상
5.181219,-34.970043,용량
28.617226,15.734987,색상
31.73072,7.6523633,향기
41.593826,-32.267715,디자인
-10.898748,-46.071857,디자인
-1.0047709,38.389893,디자인
-1.617769,4.8941417,향기
-12.091397,25.670294,감촉
63.300842,-21.874249,향기
-10.554695,39.483986,디자인
40.267857,-32.316975,색상
23.286385,-9.6185665,가격
-53.88283,-24.693653,향기
-62.984272,0.4540743,디자인
16.475536,-23.061342,감촉
29.066132,13.102721,색상
32.848774,-44.327908,디자인
-21.305624,39.828552,디자인
-32.06669,-9.146062,향기
28.655413,-53.722538,감촉
24.00294,20.536987,색상
38.53777,1.5578531,디자인
-64.5122,1.2819942,가격
35.177784,-9.501137,색상
-14.688421,45.676193,가격
-10.097259,-3.8652143,용량
-38.072716,17.350996,감촉
28.795137,-32.97977,향기
24.671799,3.4936767,가격
22.89802,-61.415543,색상
-46.354626,13.659836,용량
18.456856,51.448097,향기
35.579582,-41.6527,향기
-5.207597,-61.40147,가격
1.8135577,34.11244,색상
30.50938,0.2960054,감촉
-43.810143,0.30250898,향기
22.600786,8.629379,색상
3.4808223,9.608462,디자인
-33.93862,-0.3205853,향기
-5.6443105,38.358753,디자인
22.515293,-14.449795,가격
19.206625,-0.71738106,가격
-2.708656,54.12896,감촉
31.201445,-8.606776,색상
5.126158,-34.864513,용량
-22.130573,11.544991,용량
0.81102115,-47.600395,용량
19.870708,0.29747033,가격
25.237152,2.6616514,감촉
8.702586,46.16352,향기
50.224117,-2.830522,디자인
-54.99802,14.938864,용량
25.871218,45.854435,색상
-7.977229,-35.022396,향기
-19.1763,-7.24568,감촉
51.862144,18.899372,향기
-38.77652,14.685504,감촉
13.970314,-3.8318372,용량
-14.539497,3.5962152,용량
20.29334,-11.09961,가격
-13.40068,4.6880713,용량
-34.265766,-33.824917,가격
28.900747,-45.520424,가격
-37.938213,-28.119707,향기
1.3137475,-2.6039019,용량
13.2224455,6.495672,감촉
-24.346416,47.76671,감촉
-30.248322,18.272253,용량
8.141307,4.1415105,가격
-20.850012,22.590939,용량
